event_id                  , event_name                                      , start_date, peak_date , end_date  , asset_class, region, domains                                        , tags                        , notes
japan_1989                , "Japan asset bubble peak → unwind"              , 1989-12-29, 1989-12-29, 1992-08-18, equities   , Japan , "AI bubble"                                    , "equities;bubble;macro"     , "Dates are approximate anchors; edit as needed."
asian_crisis_1997         , "Asian Financial Crisis"                        , 1997-07-02, 1997-07-02, 1998-01-28, macro      , Asia  , "Private Credit bubble"                        , "fx;credit;em"              , "Dates are approximate anchors; edit as needed."
ltcm_1998                 , "Russia default / LTCM crisis"                  , 1998-08-17, 1998-08-17, 1998-10-08, credit     , Global, "Private Credit bubble"                        , "credit;liquidity"          , "Dates are approximate anchors; edit as needed."
dotcom_2000               , "Dot-com bust (NASDAQ peak → trough)"           , 2000-03-10, 2000-03-10, 2002-10-09, equities   , US    , "AI bubble"                                    , "equities;technology;growth", "Uses NASDAQ peak/trough style anchors."
gfc_2007                  , "Global Financial Crisis (S&P peak → trough)"   , 2007-10-09, 2007-10-09, 2009-03-09, credit     , Global, "Private Credit bubble"                        , "credit;housing;banks"      , "Uses broad risk-asset peak/trough anchors."
oil_crash_2008            , "Oil bubble peak → crash"                       , 2008-07-11, 2008-07-11, 2008-12-23, commodities, Global, "Private Credit bubble"                        , "commodities;macro"         , "Useful cross-asset stress proxy."
eurozone_2011             , "Eurozone sovereign stress"                     , 2011-07-08, 2011-07-08, 2012-06-04, credit     , Europe, "Private Credit bubble"                        , "sovereign;credit"          , "Dates are approximate anchors; edit as needed."
taper_tantrum_2013        , "Taper tantrum"                                 , 2013-05-22, 2013-05-22, 2013-09-05, rates      , US    , "Private Credit bubble"                        , "rates;duration"            , "Dates are approximate anchors; edit as needed."
china_deval_2015          , "China devaluation / global risk-off"           , 2015-08-11, 2015-08-11, 2016-02-11, macro      , Global, "AI bubble;Private Credit bubble"              , "equities;macro;credit"     , "Dates are approximate anchors; edit as needed."
crypto_2013               , "Crypto bubble 2013 peak → bear"                , 2013-12-04, 2013-12-04, 2015-01-14, crypto     , Global, "Crypto bubble"                                , "crypto"                    , "Dates are approximate anchors; edit as needed."
crypto_2017               , "Crypto bubble 2017 peak → bear"                , 2017-12-17, 2017-12-17, 2018-12-15, crypto     , Global, "Crypto bubble"                                , "crypto"                    , "Dates are approximate anchors; edit as needed."
volmageddon_2018          , "Volmageddon (vol spike)"                       , 2018-02-05, 2018-02-05, 2018-02-09, macro      , US    , "AI bubble;Private Credit bubble"              , "volatility;options"        , "Short event window; can be used for lead-time tests."
q4_riskoff_2018           , "Q4 2018 equity selloff"                        , 2018-10-03, 2018-10-03, 2018-12-24, equities   , US    , "AI bubble;Private Credit bubble"              , "equities;macro"            , "Dates are approximate anchors; edit as needed."
covid_2020                , "COVID crash (S&P peak → trough)"               , 2020-02-19, 2020-02-19, 2020-03-23, macro      , Global, "AI bubble;Private Credit bubble;Crypto bubble", "macro;liquidity"           , "Uses broad risk-asset peak/trough anchors."
spac_meme_2021            , "SPAC / meme / high-beta peak → unwind"         , 2021-02-16, 2021-02-16, 2021-10-01, equities   , US    , "AI bubble"                                    , "equities;speculation"      , "Dates are approximate anchors; edit as needed."
arkk_growth_bust_2021_2022, "Growth/innovation bust (ARKK-style)"           , 2021-02-12, 2021-02-12, 2022-10-14, equities   , US    , "AI bubble"                                    , "equities;growth"           , "Dates are approximate anchors; edit as needed."
rate_shock_2022           , "Rates / duration shock (risk assets repricing)", 2022-01-03, 2022-01-03, 2022-10-14, macro      , Global, "AI bubble;Private Credit bubble"              , "rates;duration;credit"     , "Dates are approximate anchors; edit as needed."
terra_luna_2022           , "Terra/Luna collapse"                           , 2022-05-07, 2022-05-07, 2022-06-18, crypto     , Global, "Crypto bubble"                                , "crypto;stablecoins"        , "Dates are approximate anchors; edit as needed."
crypto_winter_2021_2022   , "Crypto winter (BTC peak → late-2022)"          , 2021-11-10, 2021-11-10, 2022-11-09, crypto     , Global, "Crypto bubble"                                , "crypto"                    , "Aligns to the existing notebook stress window."
uk_gilts_2022             , "UK gilt crisis"                                , 2022-09-23, 2022-09-23, 2022-10-14, rates      , UK    , "Private Credit bubble"                        , "rates;liquidity"           , "Dates are approximate anchors; edit as needed."
ftx_2022                  , "FTX collapse"                                  , 2022-11-06, 2022-11-06, 2022-11-21, crypto     , Global, "Crypto bubble"                                , "crypto;exchange"           , "Dates are approximate anchors; edit as needed."
regional_banks_2023       , "US regional banks stress"                      , 2023-03-08, 2023-03-08, 2023-03-24, credit     , US    , "Private Credit bubble"                        , "banks;credit"              , "Dates are approximate anchors; edit as needed."
